Country Name,Country Code,Series Name,Series Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,6993182.8,7199604.7,7719071.4,8474922.7,9282553.7,9540539.7,9979128,10021043.4,9859281.2,9860914,10089273.2,10567262
China,CHN,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,969728.9275,987719.575,1017352.598,1065645.775,1112586.85,1113082.918,1136038.588,1149171.233,1147403.83,1107003.366,1116767.24,1147167.921
China,CHN,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,8551053.498,8805331.438,9380446.702,10211636.79,11089792.42,11374795.58,11861843.52,11940737.42,11804696.79,11773340.79,12014198.87,12524335.16
China,CHN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,335383.653,343003.6024,346463.7996,349602.0674,348879.5366,352890.4378,353509.7414,354143.7364,358003.641,356523.8326,349023.7686,339815.3004
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,530502.5,515335.6,466492.5,482646.2,445648.4,467831,453778.1,415609,401075.3,382154.9,366844.1,360555.9
United Kingdom,GBR,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,80568.35079,75035.35761,69477.38782,64549.42757,60590.26833,58300.45813,54458.01965,51997.12614,51485.04908,53065.03356,52798.12382,52228.16159
United Kingdom,GBR,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,658848.8085,638236.3597,581933.7885,594574.7842,551090.6869,570949.2799,553319.1051,513738.0731,498506.3318,480170.1458,463736.3259,455529.9423
United Kingdom,GBR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,23816.4282,23917.927,23144.915,23500.578,23538.8412,23291.7396,23401.7314,24206.5698,24179.422,23997.0758,24288.5496,23965.6666
United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,5736319.3,5558378.9,5156424.9,5392109.4,5173591.2,4956053,5092097.2,5107208.6,4990703.7,4894499.2,4819365.1,4975300.4
United States,USA,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,635897.8313,644011.7501,634800.939,652865.7235,658406.021,670527.6668,673728.7085,699258.6755,701609.3867,683241.848,699987.0767,743778.7354
United States,USA,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,6787855.005,6601049.857,6184149.347,6454244.95,6254958.264,6036576.77,6177416.993,6224268.726,6112057.281,6003240.816,5947835.047,6154645.789
United States,USA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,176041.7418,169923.623,173791.6332,175671.3874,178461.2932,176472.2028,177717.068,176675.8858,177084.6822,181396.8614,179503.0118,180234.5422
Russian Federation,RUS,CO2 emissions (kt),EN.ATM.CO2E.KT,1658148.6,1655191.1,1546666.4,1617827.5,1699083.2,1675755.9,1632679.7,1611960.7,1592559.4,1571517.3,1594550.3,1661000
Russian Federation,RUS,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,554974.9396,553101.4655,539130.211,557087.6168,566098.3115,560078.871,562356.9998,562762.0917,568592.4227,583174.4667,595374.1099,617987.1756
